"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Dec-2022","EQ","106.65","111.55","105.85","105.00","111.30","111.15","109.38","1,386.70","95.00",76033410,"8,316,497,757.00",241759
"26-Dec-2022","EQ","102.80","105.55","101.65","102.25","104.95","105.00","104.39","1,386.70","95.00",33995681,"3,548,856,093.40",160626
"23-Dec-2022","EQ","106.00","106.75","101.95","107.65","102.25","102.25","103.97","1,386.70","95.00",46756489,"4,861,179,723.65",247994
"22-Dec-2022","EQ","110.00","110.60","106.35","109.40","107.25","107.65","107.78","1,386.70","95.00",39639329,"4,272,289,160.15",156763
"21-Dec-2022","EQ","111.80","112.00","108.70","110.95","109.60","109.40","110.33","1,386.70","95.00",32303565,"3,564,029,185.20",123288
"20-Dec-2022","EQ","111.15","111.50","109.00","111.80","111.00","110.95","110.28","1,386.70","95.00",34836506,"3,841,678,276.75",124555
"19-Dec-2022","EQ","111.05","112.10","110.80","111.05","111.70","111.80","111.48","1,386.70","95.00",17297590,"1,928,331,474.40",110179
"16-Dec-2022","EQ","110.35","112.10","109.45","110.95","110.80","111.05","110.78","1,386.70","95.00",34736665,"3,848,127,933.45",121660
"15-Dec-2022","EQ","112.65","113.45","110.70","113.05","110.90","110.95","111.72","1,386.70","95.00",34361613,"3,838,903,320.85",179928
"14-Dec-2022","EQ","111.60","113.20","111.10","111.20","113.05","113.05","112.43","1,386.70","95.00",38606984,"4,340,715,290.60",250142
"13-Dec-2022","EQ","112.55","112.85","110.80","111.70","111.25","111.20","111.47","1,386.70","95.00",32264080,"3,596,515,740.25",111948
"12-Dec-2022","EQ","110.20","112.10","108.70","110.45","111.95","111.70","110.86","1,386.70","95.00",37082389,"4,110,851,619.65",134511
"09-Dec-2022","EQ","112.80","113.75","109.70","111.85","110.40","110.45","111.58","1,386.70","95.00",35665257,"3,979,539,564.25",150422
"08-Dec-2022","EQ","111.75","113.00","110.80","111.20","112.00","111.85","111.73","1,386.70","95.00",32416724,"3,621,976,760.80",138285
"07-Dec-2022","EQ","113.40","113.50","110.85","112.95","111.20","111.20","111.93","1,386.70","95.00",39494279,"4,420,597,087.65",152182
"06-Dec-2022","EQ","115.35","115.35","112.25","115.85","112.95","112.95","113.31","1,386.70","95.00",50581245,"5,731,246,025.85",204447
"05-Dec-2022","EQ","113.30","116.10","112.65","112.00","115.45","115.85","114.79","1,386.70","95.00",96441799,"11,070,587,626.60",319132
"02-Dec-2022","EQ","110.80","112.50","110.15","110.75","111.85","112.00","111.54","1,386.70","95.00",70541914,"7,868,561,475.35",227806
"01-Dec-2022","EQ","108.70","111.30","108.00","107.65","110.55","110.75","109.75","1,386.70","95.00",91702642,"10,064,703,817.75",283438
"30-Nov-2022","EQ","106.10","107.95","105.90","106.10","107.55","107.65","107.35","1,386.70","95.00",61142050,"6,563,796,708.15",135519
"29-Nov-2022","EQ","105.00","107.65","104.95","104.90","106.05","106.10","106.54","1,386.70","95.00",40661568,"4,332,103,822.55",126137
"28-Nov-2022","EQ","106.00","106.40","104.50","106.20","104.90","104.90","105.01","1,386.70","95.00",33516118,"3,519,507,321.20",131701
